node_code;node_type;wlan_code;x(m);y(m);z(m);central_freq (GHz);channel_bonding_model;primary_channel;min_channel_allowed;max_channel_allowed;tpc_default(dBm);cca_default(dBm);traffic_model;traffic_load[pkt/s];packet_length;num_packets_aggregated;capture_effect_model;capture_effect_threshold;constant_per;pifs_activated;cw_adaptation;cw;cw_stage;bss_color;spatial_reuse_group;non_srg_obss_pd;srg_obss_pd
AP_A;0;A;5;5;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;1;0;-62;-82
STA_A1;1;A;5.5252;3.7103;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;1;0;-62;-82
STA_A2;1;A;3.1512;3.4382;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;1;0;-62;-82
STA_A3;1;A;4.6254;9.4332;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;1;0;-62;-82
STA_A4;1;A;3.1533;7.1062;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;1;0;-62;-82
AP_B;0;B;5;10;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;2;0;-62;-82
STA_B1;1;B;6.5207;14.2402;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;2;0;-62;-82
STA_B2;1;B;2.0727;9.6584;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;2;0;-62;-82
STA_B3;1;B;5.7343;8.9254;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;2;0;-62;-82
STA_B4;1;B;5.3274;6.3998;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;2;0;-62;-82
AP_C;0;C;10;5;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;3;0;-62;-82
STA_C1;1;C;5.7801;5.4007;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;3;0;-62;-82
STA_C2;1;C;10.1572;5.644;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;3;0;-62;-82
STA_C3;1;C;9.8582;2.3928;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;3;0;-62;-82
STA_C4;1;C;13.0875;4.8675;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;3;0;-62;-82
AP_D;0;D;10;10;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;4;0;-62;-82
STA_D1;1;D;10.9122;13.3868;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;4;0;-62;-82
STA_D2;1;D;7.129;12.5271;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;4;0;-62;-82
STA_D3;1;D;8.4775;5.5858;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;4;0;-62;-82
STA_D4;1;D;5.9941;9.9753;0;6.0;4;0;0;0;20;-82;99;100000.0;12000;64;0;10;0;0;1;16;5;4;0;-62;-82
